s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,0
c,5
s,7
c,-5
s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,0
c,5
s,5
c,0
s,0
c,5
s,7
c,-5
s,0
c,50
s,0
c,40
s,0
c,10
s,7
c,-5
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,0
c,5
s,7
c,-5
s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,0
c,5
s,0
c,5
s,0
c,5
s,7
c,-5
s,0
c,40
s,0
c,10
s,7
c,-5
s,0
c,10
s,0
c,10
s,0
c,10
s,0
c,10
s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,7
c,-5
s,0
c,5
s,7
c,-5
s,0
c,50
s,0
c,40
s,0
c,5
s,7
c,-5
s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,0
c,5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,-5
s,7
c,-5
s,0
c,-5
s,7
c,-5
s,0
c,-5
s,7
c,-5
s,0
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,0
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,7
c,-5
s,0
c,5
s,7
c,-5
s,0
c,10
s,7
c,-5
s,0
c,10
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,0
c,5
s,7
c,-5
s,0
c,50
s,0
c,40
s,0
c,5
s,7
c,-5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,7
c,-5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,5
c,0
s,5
c,0
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,7
c,-5
s,0
c,5
s,5
c,0
s,5
c,0
s,5
c,0
s,0
c,5
s,7
c,-5
s,0
c,50
s,0
c,40
s,0
c,5
s,7
c,-5
s,0
c,10
s,0
c,5
s,5
c,0
s,0
c,40

