s,5
c,-4
s,84
c,1
s,2
c,1
s,8
c,1
s,2
c,1
s,0
c,1
s,0
c,1
s,3
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,5
c,-4
s,2
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,3
c,1
s,3
c,1
s,0
c,1
s,3
c,1
s,0
c,1
s,3
c,1
s,3
c,1
s,3
c,1
s,2
c,1
s,2
c,1
s,8
c,1
s,3
c,1
s,3
c,1
s,3
c,1
s,3
c,1
s,8
c,1
s,13
c,1
s,2
c,1
s,3
c,1
s,2
c,1
s,1
c,1
s,0
c,1
s,0
c,1
s,3
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
s,0
c,1
